,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
328,57,김경남,OB,0,0,0,2,2,5.0,3.60,0.00,1.80,0.400,65.80,7.20,-0.17,4.32,4.27,-0.04,1987,1567,0,0,23,9,1,4,4,2,0,0,0,0,0,0,8.7,0.0,0.00,0.409,0.391,1.80
329,58,이문한,롯데,1,0,0,13,5,36.0,4.00,6.00,0.50,0.213,82.30,2.75,0.84,4.16,4.22,-0.04,1987,2127,1,0,152,25,2,11,11,16,24,1,0,0,0,0,10.5,15.8,0.67,0.202,0.327,1.36
330,59,최상주,해태,0,0,0,3,3,5.3,0.00,5.06,0.00,0.423,50.00,11.81,-0.44,4.51,4.16,-0.05,1987,2369,0,0,29,11,0,7,7,0,3,0,0,0,0,0,0.0,10.3,0.00,0.440,0.483,2.63
331,60,김상기,청보,0,0,0,3,2,2.3,0.00,7.72,0.00,0.375,60.00,7.71,-0.10,5.37,5.04,-0.05,1987,1621,0,0,10,3,0,2,2,0,2,0,0,0,0,0,0.0,20.0,0.00,0.375,0.500,2.14
332,61,최창호,청보,0,1,0,8,4,16.7,3.78,5.94,0.54,0.333,58.80,7.56,-0.60,4.18,4.21,-0.07,1987,2394,0,0,79,21,1,14,14,7,11,1,0,0,1,0,8.9,13.9,0.64,0.318,0.405,1.92
333,62,민문식,빙그레,0,0,0,3,2,5.7,4.77,4.77,1.59,0.316,81.40,3.18,-0.03,5.17,5.29,-0.11,1987,1813,0,0,26,7,1,3,2,3,3,0,0,0,0,0,11.5,11.5,1.00,0.304,0.385,1.76
334,63,박동경,삼성,1,1,0,8,4,29.7,3.03,4.85,0.61,0.303,69.30,5.16,-0.15,4.44,4.39,-0.11,1987,1829,1,0,131,32,2,17,17,10,16,0,1,2,0,0,7.6,12.2,0.62,0.288,0.378,1.62
335,64,김준희,삼성,0,0,0,4,0,7.0,0.00,7.71,0.00,0.406,42.10,14.14,-0.71,5.37,5.04,-0.13,1987,1702,0,0,40,13,0,11,11,0,6,0,0,2,0,0,0.0,15.0,0.00,0.406,0.500,2.71
336,65,권영호,삼성,5,3,18,32,25,89.7,2.81,3.01,0.70,0.234,81.70,2.41,2.38,3.93,3.83,-0.14,1987,1551,0,0,356,74,7,27,24,28,30,1,0,1,0,0,7.9,8.4,0.93,0.233,0.296,1.16
337,66,전용권,삼성,0,0,0,1,0,0.3,0.00,0.00,27.03,0.667,0.00,81.00,-0.25,42.04,41.51,-0.16,1987,2260,0,0,4,3,1,3,3,0,0,0,0,0,0,0,0.0,0.0,0.00,0.750,0.750,9.01
338,67,오문현,빙그레,0,1,0,2,0,2.0,0.00,22.50,0.00,0.333,50.00,18.00,-0.29,10.15,9.97,-0.16,1987,2041,0,0,14,3,0,4,4,0,5,0,0,0,1,0,0.0,35.7,0.00,0.333,0.571,4.00
339,68,황태환,OB,2,3,5,28,12,65.7,2.74,2.74,0.82,0.289,60.70,5.48,-1.13,4.07,3.96,-0.17,1987,2472,0,0,280,73,6,42,40,20,20,1,1,2,2,0,7.1,7.1,1.00,0.284,0.335,1.42
340,69,정성만,롯데,0,2,0,4,1,16.3,2.20,4.41,1.10,0.323,53.20,6.61,-0.64,5.37,5.22,-0.21,1987,2280,1,0,77,22,2,16,12,4,8,0,1,0,0,0,5.2,10.4,0.50,0.328,0.395,1.84
341,70,한오종,OB,0,0,0,3,2,5.0,1.80,7.20,1.80,0.133,71.40,5.40,-0.07,7.23,7.07,-0.22,1987,2443,0,0,21,3,1,3,3,1,4,0,0,0,0,0,4.8,19.0,0.25,0.176,0.333,1.40
342,71,권기홍,삼성,0,4,0,8,1,25.7,3.51,4.91,1.05,0.374,60.20,7.01,-1.01,4.85,4.84,-0.23,1987,1545,0,0,127,40,3,24,20,10,14,0,0,1,1,0,7.9,11.0,0.71,0.360,0.429,2.10
343,72,이진우,청보,0,4,1,15,5,30.0,5.10,6.60,0.90,0.293,53.10,6.60,-1.32,4.66,4.83,-0.24,1987,2195,0,0,143,32,3,28,22,17,22,1,1,3,0,0,11.9,15.4,0.77,0.278,0.383,1.80
344,73,성준,삼성,4,7,1,21,7,109.0,2.64,3.88,0.91,0.279,80.10,3.55,1.66,4.49,4.38,-0.27,1987,1937,4,2,459,111,11,44,43,32,47,5,1,1,0,0,7.0,10.2,0.68,0.278,0.353,1.45
345,74,하기룡,MBC,1,3,0,15,6,57.0,2.53,2.68,0.95,0.271,76.70,4.11,0.36,4.46,4.33,-0.28,1987,2434,0,0,249,61,6,26,26,16,17,3,6,0,0,0,6.4,6.8,0.94,0.274,0.322,1.37
346,75,박형열,OB,0,0,0,1,1,1.0,9.00,18.00,18.00,0.500,90.90,27.00,-0.23,31.86,32.47,-0.30,1987,1884,0,0,7,3,2,3,3,1,2,0,0,0,0,0,14.3,28.6,0.50,0.600,0.714,5.00
347,76,천창호,빙그레,4,7,0,25,12,97.3,2.40,2.96,0.83,0.287,78.10,3.51,0.99,4.23,4.09,-0.30,1987,2361,2,0,414,105,9,40,38,26,32,2,1,0,0,0,6.3,7.7,0.81,0.285,0.342,1.41
348,77,이동수,청보,1,1,0,7,1,16.0,3.38,2.81,1.69,0.375,36.90,12.38,-1.38,5.51,5.47,-0.32,1987,2119,0,0,80,27,3,23,22,6,5,0,2,0,0,0,7.5,6.2,1.20,0.375,0.410,2.00
349,78,송유석,해태,0,0,0,4,2,15.7,2.30,5.17,1.15,0.302,79.40,2.87,-0.02,5.66,5.53,-0.33,1987,1959,0,0,71,18,2,8,5,4,9,0,1,0,0,0,5.6,12.7,0.44,0.305,0.397,1.72
350,79,임재준,빙그레,0,2,0,4,0,8.0,5.63,7.88,2.25,0.393,62.50,10.13,-0.56,7.61,7.84,-0.35,1987,2220,0,0,44,13,2,10,9,5,7,0,2,1,0,0,11.4,15.9,0.71,0.371,0.476,2.50
351,80,조도연,해태,0,2,0,13,5,27.0,3.00,4.33,1.33,0.365,65.50,7.33,-0.94,5.35,5.28,-0.46,1987,2312,0,0,131,42,4,23,22,9,13,0,1,0,0,0,6.9,9.9,0.69,0.368,0.423,2.04
352,81,손문곤,빙그레,1,4,1,19,11,49.3,4.01,4.74,1.09,0.286,57.30,6.93,-1.49,4.70,4.74,-0.48,1987,1946,1,0,223,54,6,39,38,22,26,0,0,0,1,0,9.9,11.7,0.85,0.281,0.360,1.62
353,82,강상진,해태,0,4,0,13,5,45.0,2.60,6.40,0.40,0.303,61.60,6.40,-1.16,4.82,4.73,-0.51,1987,1510,1,0,207,49,2,34,32,13,32,1,3,4,0,0,6.3,15.5,0.41,0.292,0.401,1.80
354,83,강만식,해/빙,2,3,0,5,0,28.0,1.29,3.54,1.61,0.232,60.60,6.11,-0.36,6.15,5.90,-0.51,1987,1504,0,0,119,27,5,20,19,4,11,0,2,0,0,0,3.4,9.2,0.36,0.265,0.330,1.36
355,84,김훈기,삼성,3,5,3,24,15,80.7,2.45,4.57,0.56,0.272,71.50,4.02,-0.18,4.45,4.33,-0.54,1987,1737,2,0,365,82,5,42,36,22,41,5,7,0,1,0,6.0,11.2,0.54,0.265,0.350,1.52
356,85,박노준,OB,0,1,0,9,7,16.0,4.50,7.88,1.69,0.265,74.60,6.19,-0.34,6.60,6.72,-0.57,1987,1827,0,0,75,16,3,11,11,8,14,0,1,2,0,0,10.7,18.7,0.57,0.271,0.405,1.88
357,86,김재열,빙그레,1,1,0,12,6,39.3,2.29,3.66,1.37,0.316,73.40,4.58,-0.42,5.54,5.39,-0.76,1987,1680,0,0,171,48,6,24,20,10,16,0,3,3,0,0,5.8,9.4,0.62,0.324,0.388,1.63
358,87,이동석,빙그레,1,2,0,13,4,35.3,1.53,5.09,1.53,0.324,60.40,6.37,-1.55,6.33,6.12,-1.02,1987,2118,1,0,175,51,6,34,25,6,20,1,2,0,1,0,3.4,11.4,0.30,0.338,0.415,2.01
359,88,김강익,OB,0,2,0,12,5,37.0,0.97,4.38,1.70,0.274,74.70,5.11,-0.47,6.37,6.09,-1.12,1987,1564,0,0,165,44,7,23,21,4,18,1,0,1,0,0,2.4,10.9,0.22,0.303,0.378,1.68
360,1,선동열,해태,16,5,10,31,12,178.3,10.09,1.77,0.15,0.269,83.90,1.21,9.55,0.63,1.26,12.18,1988,1931,9,1,674,116,3,29,24,200,35,0,7,0,1,0,29.7,5.2,5.71,0.187,0.229,0.85
361,2,윤학길,롯데,18,10,3,35,25,234.0,4.73,2.04,0.35,0.307,73.10,3.15,5.20,2.64,2.73,6.62,1988,2095,17,3,967,241,9,89,82,123,53,1,3,7,1,0,12.7,5.5,2.32,0.273,0.313,1.26
362,3,최동원,롯데,7,3,3,16,4,83.3,8.96,2.59,0.43,0.317,80.90,2.05,2.51,1.48,2.00,3.73,1988,2366,3,1,349,77,4,24,19,83,24,3,1,1,1,0,23.8,6.9,3.46,0.244,0.296,1.21
363,4,한희민,빙그레,16,5,5,31,20,188.0,4.93,2.63,0.77,0.293,78.20,3.11,4.11,3.43,3.55,3.00,1988,2448,10,4,782,188,16,72,65,103,55,2,7,1,0,0,13.2,7.0,1.87,0.269,0.319,1.29
364,5,오영일,MBC,7,11,2,28,21,176.0,3.27,2.56,0.46,0.323,71.90,3.48,2.09,3.44,3.39,2.86,1988,2049,8,0,760,208,9,83,68,64,50,4,5,2,2,0,8.4,6.6,1.28,0.304,0.349,1.47
365,6,김진욱,OB,11,8,2,29,14,139.3,4.72,2.91,0.39,0.264,72.90,3.10,2.83,3.09,3.19,2.58,1988,1706,5,2,559,116,6,52,48,73,45,2,8,4,2,0,13.1,8.1,1.62,0.236,0.298,1.16
366,7,이상군,빙그레,10,3,16,38,8,135.0,3.13,1.47,0.47,0.254,79.10,2.40,4.48,3.15,3.07,2.34,1988,2133,3,1,530,120,7,38,36,47,22,2,3,2,0,0,8.9,4.2,2.14,0.242,0.273,1.05
367,8,최일언,OB,6,4,0,20,13,115.7,3.89,3.73,0.00,0.271,78.40,2.18,3.72,3.07,3.09,2.31,1988,2385,2,0,485,100,0,33,28,50,48,0,5,2,0,0,10.3,9.9,1.04,0.240,0.317,1.28
368,9,김성길,삼성,8,4,6,38,15,151.3,3.69,1.84,0.59,0.282,78.50,2.80,3.73,3.31,3.29,2.26,1988,1633,2,1,615,150,10,51,47,62,31,2,5,0,2,0,10.1,5.0,2.00,0.265,0.302,1.20
369,10,박동수,롯데,7,8,2,31,13,114.3,4.64,2.13,0.47,0.324,67.70,3.62,0.41,2.99,3.07,2.20,1988,1830,0,0,490,131,6,59,46,59,27,2,7,3,2,0,12.0,5.5,2.19,0.292,0.331,1.38
370,11,양상문,태평양,9,12,3,38,23,169.3,3.61,2.87,0.64,0.301,67.80,3.83,0.77,3.71,3.69,1.87,1988,2012,8,1,722,185,12,89,72,68,54,0,2,6,0,0,9.4,7.5,1.26,0.286,0.338,1.41
371,12,김훈기,삼성,10,5,3,27,10,118.0,3.81,1.75,0.61,0.250,71.90,2.75,2.31,3.23,3.22,1.84,1988,1737,6,3,472,102,8,44,36,50,23,2,3,0,0,0,10.6,4.9,2.17,0.238,0.274,1.06
372,13,신완근,태평양,2,9,3,37,4,139.0,4.73,2.85,0.52,0.296,66.20,4.01,0.13,3.19,3.29,1.83,1988,1978,1,0,585,141,8,71,62,73,44,0,3,0,1,0,12.5,7.5,1.66,0.270,0.322,1.33
373,14,김홍명,빙그레,8,13,0,24,22,151.7,3.62,4.27,0.47,0.306,71.40,4.27,1.62,3.85,3.84,1.79,1988,1732,7,1,656,158,8,75,72,61,72,6,4,3,1,0,9.3,11.0,0.85,0.285,0.365,1.52
374,15,김용수,MBC,3,5,11,34,3,98.7,4.65,2.83,0.46,0.335,69.70,4.47,0.01,3.12,3.21,1.54,1988,1661,1,0,438,118,5,51,49,51,31,1,3,0,0,0,11.6,7.1,1.65,0.304,0.351,1.51
375,16,이상윤,해태,16,6,0,30,22,137.0,3.61,4.93,0.20,0.222,70.00,2.89,2.48,3.76,3.77,1.53,1988,2139,3,1,575,98,3,56,44,55,75,1,4,4,1,0,9.6,13.0,0.73,0.203,0.309,1.26
376,17,김용남,빙그레,8,6,1,27,16,122.7,3.01,1.83,0.66,0.324,66.90,4.11,0.27,3.59,3.50,1.51,1988,1659,1,0,525,150,9,67,56,41,25,1,2,1,0,0,7.8,4.8,1.64,0.309,0.343,1.43
377,18,이상구,태평양,4,6,1,31,3,87.0,5.07,3.31,0.31,0.281,53.90,5.07,-0.82,2.87,3.00,1.51,1988,2132,0,0,355,77,3,53,49,49,32,1,1,5,1,0,13.8,9.0,1.53,0.247,0.314,1.25
378,19,이용철,MBC,7,11,0,29,19,144.3,2.87,3.43,0.31,0.275,71.00,2.74,2.06,3.77,3.68,1.49,1988,2161,6,0,610,138,5,63,44,46,55,0,7,1,2,0,7.5,9.0,0.84,0.260,0.328,1.34
379,20,문희수,해태,8,7,3,26,13,110.3,4.49,2.69,0.73,0.261,73.50,3.02,1.85,3.47,3.54,1.49,1988,1811,4,1,458,101,9,45,37,55,33,1,1,2,0,0,12.0,7.2,1.67,0.244,0.298,1.21
380,21,차동철,해태,10,6,1,32,15,146.0,2.77,1.29,0.68,0.287,69.30,3.33,1.37,3.66,3.54,1.47,1988,2350,5,3,607,156,11,68,54,45,21,2,10,4,0,0,7.4,3.5,2.14,0.279,0.304,1.21
381,22,윤석환,OB,13,3,14,40,1,108.0,4.42,3.17,0.50,0.272,84.60,2.08,3.53,3.23,3.29,1.43,1988,2092,0,0,439,96,6,28,25,53,38,5,2,0,1,0,12.1,8.7,1.39,0.247,0.313,1.24
382,23,조병천,태평양,2,10,1,28,15,128.0,2.81,3.09,0.42,0.289,70.30,3.94,1.36,3.65,3.55,1.40,1988,2314,4,0,546,134,6,59,56,40,44,3,1,1,0,0,7.3,8.1,0.91,0.277,0.334,1.39
383,24,신동수,해태,5,2,1,22,11,81.3,4.43,2.10,0.66,0.307,83.30,2.43,2.27,3.24,3.29,1.33,1988,1972,2,1,338,87,6,25,22,40,19,1,2,0,1,0,11.8,5.6,2.11,0.282,0.322,1.30
384,25,이동석,빙그레,7,3,2,17,10,76.0,3.20,2.37,0.36,0.273,67.50,3.67,1.00,3.32,3.25,1.27,1988,2118,2,1,311,72,3,34,31,27,20,2,4,0,2,0,8.7,6.4,1.35,0.255,0.304,1.21
385,26,방수원,해태,2,1,6,28,2,80.0,2.59,2.59,0.11,0.231,82.00,1.69,3.00,3.19,3.07,1.09,1988,1891,0,0,320,63,1,17,15,23,23,1,2,0,0,0,7.2,7.2,1.00,0.216,0.273,1.08
386,27,김시진,삼성,11,9,0,25,19,144.3,4.18,4.36,0.62,0.219,71.80,3.49,2.32,4.08,4.13,1.05,1988,1651,5,1,602,107,10,62,56,67,70,1,7,3,0,0,11.1,11.6,0.96,0.207,0.301,1.23
387,28,김신부,태평양,9,8,1,29,17,123.3,2.77,2.12,0.58,0.278,67.60,3.87,0.71,3.89,3.78,1.00,1988,1653,2,1,526,126,8,63,53,38,29,5,16,0,1,0,7.2,5.5,1.31,0.268,0.310,1.26
388,29,한오종,OB,4,4,0,26,19,115.7,4.67,4.44,0.70,0.279,73.40,3.81,1.36,3.98,4.08,0.96,1988,2443,2,1,496,108,9,54,49,60,57,1,3,2,1,0,12.1,11.5,1.05,0.255,0.343,1.43
389,30,노상수,롯데,4,5,5,28,14,104.7,3.53,2.32,0.77,0.276,61.90,4.73,-0.18,3.83,3.80,0.90,1988,1747,2,0,441,106,9,60,55,41,27,0,4,0,0,0,9.3,6.1,1.52,0.268,0.311,1.27
390,31,김정수c,해태,3,2,0,11,9,54.3,3.81,3.81,0.33,0.253,75.50,2.48,1.40,3.52,3.54,0.83,1988,1685,0,0,227,45,2,19,15,23,23,0,1,0,0,0,10.1,10.1,1.00,0.231,0.312,1.25
391,32,김정행,롯데,8,4,0,15,15,94.0,2.78,4.79,0.29,0.256,70.30,3.64,1.45,4.15,4.07,0.82,1988,1687,4,2,400,82,3,43,38,29,50,0,3,2,0,0,7.2,12.5,0.58,0.244,0.338,1.40
392,33,계형철,OB,10,12,2,33,18,129.7,3.33,4.30,0.49,0.266,71.90,3.75,1.49,4.01,3.97,0.81,1988,1520,2,0,558,121,7,59,54,48,62,2,2,3,0,0,8.6,11.1,0.77,0.252,0.335,1.41
393,34,장호연,OB,8,12,1,36,21,146.0,2.84,2.71,0.74,0.300,69.80,3.95,0.69,4.08,3.98,0.80,1988,2254,3,1,629,163,12,76,64,46,44,3,6,3,0,0,7.3,7.0,1.05,0.291,0.342,1.42
394,35,김대중,빙그레,7,7,1,23,18,119.0,2.72,2.57,0.68,0.300,75.00,3.86,1.66,4.21,4.09,0.71,1988,1590,4,1,508,131,9,54,51,36,34,2,13,1,1,0,7.1,6.7,1.06,0.293,0.340,1.39
395,36,손문곤,빙그레,2,3,0,17,7,54.0,3.33,2.83,0.33,0.337,57.50,5.67,-0.92,3.42,3.37,0.68,1988,1946,0,0,244,69,2,39,34,20,17,0,2,2,0,0,8.2,7.0,1.18,0.315,0.361,1.59
396,37,오명록,롯데,6,7,1,19,14,90.0,4.30,4.00,0.80,0.269,67.10,3.70,0.35,4.08,4.14,0.65,1988,2040,2,1,384,85,8,49,37,43,40,0,1,3,2,0,11.2,10.4,1.08,0.254,0.332,1.39
397,38,문병권,MBC,1,3,0,19,8,65.3,3.58,2.89,0.55,0.292,72.60,3.72,0.73,3.66,3.63,0.62,1988,1805,2,1,274,66,4,29,27,26,21,2,4,2,1,0,9.5,7.7,1.24,0.275,0.331,1.33
398,39,천창호,빙그레,1,1,1,17,0,21.7,7.48,0.83,0.83,0.250,78.90,2.49,0.56,2.04,2.39,0.61,1988,2361,0,0,80,16,2,6,6,18,2,0,0,0,0,0,22.5,2.5,9.00,0.211,0.231,0.83
399,40,안창완,롯데,1,3,2,29,3,62.3,3.75,3.75,0.43,0.265,65.60,4.33,0.15,3.62,3.62,0.44,1988,2007,0,0,259,56,3,31,30,26,26,0,0,0,1,0,10.0,10.0,1.00,0.245,0.322,1.32
400,41,박상범,태평양,1,1,0,10,4,33.0,5.45,1.36,1.09,0.339,51.90,7.09,-0.76,3.43,3.58,0.41,1988,1840,2,0,142,41,4,26,26,20,5,0,2,3,1,0,14.1,3.5,4.00,0.308,0.333,1.39
401,42,이문한,롯데,3,1,1,16,4,57.0,4.11,2.68,0.79,0.210,76.90,2.68,1.28,3.73,3.75,0.40,1988,2127,1,0,223,40,5,19,17,26,17,1,2,1,0,0,11.7,7.6,1.53,0.206,0.265,1.00
402,43,김봉근,태평양,4,11,0,22,17,93.7,2.40,1.25,1.15,0.322,63.50,5.00,-0.59,4.35,4.19,0.36,1988,1618,2,0,404,123,12,61,52,25,13,0,2,0,0,0,6.2,3.2,1.92,0.324,0.344,1.45
403,44,김종석,롯데,0,5,0,20,10,55.0,3.76,4.75,0.33,0.321,64.70,4.75,-0.44,3.94,3.96,0.35,1988,1695,0,0,249,62,2,35,29,23,29,0,3,0,1,0,9.2,11.6,0.79,0.294,0.378,1.65
404,45,이길환,MBC,10,4,0,24,15,122.3,2.06,2.35,0.81,0.280,70.10,3.53,0.90,4.36,4.17,0.29,1988,2112,3,1,517,131,11,61,48,28,32,1,5,0,0,0,5.4,6.2,0.88,0.282,0.326,1.33
405,46,진동한,삼성,2,3,1,18,9,54.3,1.66,3.64,0.33,0.313,69.70,4.64,0.24,4.11,3.90,0.23,1988,2344,1,1,238,63,2,28,28,10,22,1,1,1,0,0,4.2,9.2,0.45,0.309,0.371,1.56
406,47,송유석,해태,1,0,0,3,1,15.3,2.93,3.52,0.00,0.314,72.70,3.52,0.25,3.18,3.10,0.23,1988,1959,0,0,62,16,0,6,6,5,6,0,0,0,0,0,8.1,9.7,0.83,0.286,0.355,1.43
407,48,홍성연,삼성,3,1,0,13,5,52.7,2.05,3.25,0.34,0.333,56.50,6.66,-1.24,4.04,3.87,0.21,1988,2464,2,0,243,71,2,42,39,12,19,0,3,3,1,0,4.9,7.8,0.63,0.327,0.375,1.71
408,49,예병준,MBC,1,6,0,12,6,50.3,2.50,4.47,0.36,0.311,76.30,3.93,0.53,4.21,4.09,0.15,1988,2038,2,0,229,59,2,23,22,14,25,3,4,1,0,0,6.1,10.9,0.56,0.298,0.375,1.67
409,50,임재준,빙그레,0,0,0,2,0,3.7,4.91,0.00,0.00,0.000,0.00,0.00,0.21,1.40,1.49,0.13,1988,2220,0,0,12,0,0,0,0,2,0,0,0,0,0,0,16.7,0.0,0.00,0.000,0.000,0.00
410,51,유종겸,MBC,4,7,1,23,13,109.0,3.72,5.37,0.58,0.267,69.90,4.13,0.37,4.42,4.43,0.12,1988,2073,6,1,484,102,7,58,50,45,65,1,3,2,0,0,9.3,13.4,0.69,0.252,0.353,1.53
411,52,하창우,OB,0,1,0,5,3,16.3,1.10,1.65,0.55,0.339,52.80,6.61,-0.36,4.15,3.86,0.08,1988,2437,1,0,70,22,1,13,12,2,3,0,1,0,0,0,2.9,4.3,0.67,0.338,0.368,1.53
412,53,이현택,삼성,0,0,0,6,1,9.0,6.00,9.00,0.00,0.414,71.40,6.00,-0.13,3.63,3.91,0.07,1988,2203,0,0,45,12,0,6,6,6,9,1,0,2,0,0,13.3,20.0,0.67,0.343,0.477,2.33
413,54,이척기,빙그레,0,0,0,4,0,2.3,3.86,7.72,0.00,0.375,80.00,3.86,0.02,1.74,1.72,0.07,1988,2196,0,0,11,3,0,1,1,1,2,2,0,1,0,0,9.1,18.2,0.50,0.333,0.455,2.14
414,55,최진영,삼성,0,0,0,1,0,2.7,3.38,3.38,0.00,0.500,66.70,3.38,-0.06,2.99,2.95,0.04,1988,2391,0,0,12,5,0,2,1,1,1,0,0,1,0,0,8.3,8.3,1.00,0.455,0.500,2.25
415,56,박노준,OB,0,0,0,1,1,3.0,3.00,3.00,0.00,0.357,14.30,18.00,-0.31,3.99,3.91,0.03,1988,1827,0,0,17,5,0,6,6,1,1,0,1,0,0,0,5.9,5.9,1.00,0.385,0.375,2.00
416,57,김대현,해태,7,6,2,31,19,136.7,3.10,2.90,0.99,0.264,69.50,4.54,0.61,4.53,4.46,0.00,1988,1591,3,0,585,136,15,72,69,47,44,0,8,2,0,0,8.0,7.5,1.07,0.265,0.319,1.32
417,58,김재열,빙그레,0,0,0,1,0,1.0,0.00,9.00,0.00,0.667,20.00,36.00,-0.29,5.90,5.58,-0.02,1988,1680,0,0,7,4,0,4,4,0,1,0,0,0,0,0,0.0,14.3,0.00,0.667,0.714,5.00
418,59,안성수,빙그레,0,1,0,1,1,2.0,0.00,9.00,0.00,0.455,57.10,13.50,-0.16,5.90,5.58,-0.03,1988,2000,0,0,13,5,0,3,3,0,2,0,0,0,0,0,0.0,15.4,0.00,0.455,0.538,3.50
419,60,이동수,태평양,0,0,0,2,0,5.0,1.80,7.20,0.00,0.278,77.80,1.80,0.06,4.74,4.58,-0.04,1988,2119,0,0,23,5,0,2,1,1,4,0,0,0,0,0,4.3,17.4,0.25,0.263,0.391,1.80
420,61,강만식,빙그레,0,0,0,2,0,1.3,0.00,13.50,0.00,0.000,100.00,0.00,0.07,7.36,7.08,-0.06,1988,1504,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0.0,40.0,0.00,0.000,0.400,1.50
421,62,임호균,태평양,0,3,0,5,4,14.0,2.57,6.43,0.64,0.423,63.30,7.07,-0.45,5.17,5.08,-0.09,1988,2232,0,0,68,23,1,13,11,4,10,0,0,1,0,0,5.9,14.7,0.40,0.404,0.493,2.36
422,63,최창호,태평양,0,1,0,3,1,6.7,4.05,5.40,1.35,0.250,46.50,8.10,-0.23,5.38,5.43,-0.09,1988,2394,0,0,29,6,1,6,6,3,4,0,0,0,0,0,10.3,13.8,0.75,0.250,0.357,1.50
423,64,지성규,빙그레,0,0,0,5,1,13.7,2.63,5.27,0.66,0.283,77.70,3.95,0.13,4.79,4.70,-0.10,1988,2340,0,0,61,14,1,6,6,4,8,0,0,0,0,0,6.6,13.1,0.50,0.280,0.373,1.61
424,65,성준,삼성,11,8,2,31,21,159.7,3.33,4.17,0.96,0.236,77.00,3.33,2.70,4.65,4.61,-0.12,1988,1937,4,2,668,135,17,67,59,59,74,3,3,4,1,0,8.8,11.1,0.80,0.235,0.321,1.31
425,66,구명근,롯데,0,0,0,2,0,5.0,1.80,3.60,1.80,0.440,71.40,9.00,-0.23,6.18,5.98,-0.13,1988,1542,0,0,29,12,1,5,5,1,2,0,0,0,0,0,3.4,6.9,0.50,0.444,0.483,2.80
426,67,서정용,롯데,3,3,1,14,5,47.0,3.06,4.02,0.77,0.263,80.40,3.06,0.84,4.54,4.47,-0.13,1988,1928,1,0,203,45,4,18,16,16,21,1,3,0,0,0,7.9,10.3,0.76,0.257,0.335,1.40
427,68,조도연,해태,0,1,0,6,2,9.7,1.86,7.45,0.00,0.276,77.80,3.72,0.13,5.42,5.27,-0.14,1988,2312,0,0,41,8,0,4,4,2,8,0,2,0,0,0,4.9,19.5,0.25,0.258,0.410,1.66
428,69,강상진,해태,0,0,0,1,0,1.0,0.00,45.00,0.00,0.500,42.90,27.00,-0.29,17.54,17.58,-0.16,1988,1510,0,0,9,2,0,4,3,0,5,0,0,0,0,0,0.0,55.6,0.00,0.500,0.778,7.00
429,70,이충우,태평양,0,0,0,2,0,3.0,3.00,3.00,3.00,0.462,39.50,18.00,-0.40,8.34,8.24,-0.16,1988,2197,0,0,17,7,1,6,6,1,1,0,1,0,0,0,5.9,5.9,1.00,0.467,0.500,2.67
430,71,김연철,빙그레,0,1,0,3,0,7.0,2.57,0.00,2.57,0.333,61.00,6.43,-0.24,5.88,5.72,-0.16,1988,1655,0,0,31,11,2,6,5,2,0,0,0,0,0,0,6.5,0.0,0.00,0.355,0.355,1.57
431,72,정윤수,삼성,0,3,1,8,3,21.7,4.15,4.15,1.25,0.329,63.20,7.06,-0.54,4.94,4.98,-0.17,1988,2291,0,0,100,27,3,17,17,10,10,1,2,1,0,0,10.0,10.0,1.00,0.318,0.385,1.71
432,73,권영호,삼성,7,5,7,29,4,72.3,2.99,4.98,0.62,0.247,73.70,3.73,0.68,4.33,4.26,-0.19,1988,1551,1,1,308,61,5,32,30,24,40,6,1,1,0,0,7.8,13.0,0.60,0.239,0.341,1.40
433,74,김응국,롯데,0,0,0,8,1,19.7,2.75,5.95,0.46,0.329,74.50,5.03,-0.08,4.99,4.92,-0.21,1988,1667,0,0,92,24,1,11,11,6,13,0,2,0,0,0,6.5,14.1,0.46,0.324,0.411,1.88
434,75,이상훈,OB,2,2,0,27,7,84.0,3.11,3.64,0.86,0.251,66.50,4.50,-0.01,4.48,4.41,-0.24,1988,2143,1,1,352,76,8,45,42,29,34,0,2,1,0,0,8.2,9.7,0.85,0.250,0.322,1.31
435,76,권기홍,삼성,0,0,0,2,0,2.3,0.00,0.00,7.72,0.300,45.50,15.43,-0.27,14.17,13.72,-0.28,1988,1545,0,0,12,5,2,4,4,0,0,0,0,0,0,0,0.0,0.0,0.00,0.417,0.417,2.14
436,77,이국성,MBC,2,1,0,20,3,55.7,4.85,5.34,0.97,0.278,76.30,4.20,0.22,4.55,4.68,-0.28,1988,2109,2,0,242,53,6,27,26,30,33,1,1,1,1,0,12.4,13.6,0.91,0.261,0.361,1.54
437,78,장정순,빙그레,1,1,2,13,1,32.3,4.45,4.18,1.11,0.295,68.20,5.01,-0.47,4.79,4.87,-0.31,1988,2247,0,0,147,35,4,21,18,16,15,1,4,0,1,0,10.9,10.2,1.07,0.282,0.357,1.55
